#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2026-04-16-04-14-46
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1776309816.959216	CoPvmd2vCrKHaTpG4i	103.98.152.197	53862	185.125.190.58	123	4	4	2	1.000000	0.000000	0.005630	0.000336	99.220.8.133	1776309764.355054	1776309816.173910	1776309816.854776	1776309816.854789	0
1776309830.799557	CKYVs29PnoHsY5TEb	103.98.152.192	123	17.253.84.253	123	4	3	9	1024.000000	0.000000	0.000000	0.040131	127.127.1.0	1776308809.800208	1775596497.814767	1775596497.829078	1776309830.800243	0
1776309865.616253	CRuaTT2v7ovx5Cnrj4	103.98.152.107	57511	185.125.190.57	123	4	3	0	1024.000000	4.294967296e+09	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-1317339853.277256	0
1776309865.833405	CRuaTT2v7ovx5Cnrj4	103.98.152.107	57511	185.125.190.57	123	4	4	2	1024.000000	0.000000	0.005585	0.000504	99.220.8.133	1776309519.566279	-1317339853.277256	1776309865.720055	1776309865.720087	0
1776309884.857342	CFaV2I3TvqMTIKXEu9	103.98.152.107	52865	103.221.223.143	123	4	3	0	512.000000	4.294967296e+09	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1214671535.455050	0
1776309884.858155	CFaV2I3TvqMTIKXEu9	103.98.152.107	52865	103.221.223.143	123	4	4	3	512.000000	0.000000	0.058212	0.061783	103.130.217.41	1776309366.070853	1214671535.455050	1776309884.852484	1776309884.852501	0
1776310022.926533	CNBB5G2a07GYDRZosi	103.98.152.107	60241	185.125.190.56	123	4	3	0	1024.000000	4.294967296e+09	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	311972590.903213	0
1776310023.126944	CNBB5G2a07GYDRZosi	103.98.152.107	60241	185.125.190.56	123	4	4	2	1024.000000	0.000000	0.005478	0.001007	146.131.121.246	1776309180.231691	311972590.903213	1776310023.030864	1776310023.030879	0
1776310036.301656	CQEH2k1fgIW693wcfg	103.98.152.5	123	52.148.114.188	123	3	3	4	1024.000000	0.000000	0.025024	0.033676	52.148.114.188	1776309977.239776	1776309012.248328	1776309012.260497	1776310036.301801	0
1776310036.326004	CQEH2k1fgIW693wcfg	103.98.152.5	123	52.148.114.188	123	3	4	3	1024.000000	0.000000	0.000458	0.013199	10.0.6.23	1776310030.548137	1776310036.301801	1776310036.314137	1776310036.314138	0
1776310067.352716	C15NLT1WZoKhPbfFRk	103.98.152.107	56575	185.125.190.58	123	4	3	0	1024.000000	4.294967296e+09	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1808333719.886267	0
1776310067.558423	C15NLT1WZoKhPbfFRk	103.98.152.107	56575	185.125.190.58	123	4	4	2	1024.000000	0.000000	0.005539	0.000275	99.220.8.133	1776310024.518470	1808333719.886267	1776310067.453232	1776310067.453330	0
1776310135.344199	CDMUs37UKNRp3Y00b	103.98.152.52	46405	185.125.190.57	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1776310135.076252	0
1776310135.554108	CDMUs37UKNRp3Y00b	103.98.152.52	46405	185.125.190.57	123	4	4	2	1.000000	0.000000	0.005585	0.000275	99.220.8.133	1776310032.801490	1776310135.076252	1776310135.444890	1776310135.444904	0
1776310147.159759	CMG58V3EDW0r2qoTae	103.98.152.157	51228	185.125.190.57	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	157189080.657958	0
1776310147.372900	CMG58V3EDW0r2qoTae	103.98.152.157	51228	185.125.190.57	123	4	4	2	1.000000	0.000000	0.005585	0.000290	99.220.8.133	1776310032.801490	157189080.657958	1776310147.259977	1776310147.259989	0
1776310258.258114	CG4khr2jcQhY3wc7Z8	103.98.152.107	57737	115.165.161.155	123	4	3	0	1024.000000	4.294967296e+09	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1584645391.454898	0
1776310258.259471	CG4khr2jcQhY3wc7Z8	103.98.152.107	57737	115.165.161.155	123	4	4	3	1024.000000	0.000000	0.038208	0.002335	92.0.162.209	1776309273.323383	1584645391.454898	1776310258.255739	1776310258.255763	0
1776310266.440498	CazkXE1o2TElNReg95	103.98.152.207	46970	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	383061264.701557	0
1776310266.655287	CazkXE1o2TElNReg95	103.98.152.207	46970	185.125.190.58	123	4	4	2	1.000000	0.000000	0.005554	0.000336	99.220.8.133	1776310217.786945	383061264.701557	1776310266.540906	1776310266.540944	0
1776310310.859225	Ck9Ko33LcUl0ZbtQy9	103.98.152.198	123	52.148.114.188	123	3	3	4	1024.000000	0.000000	0.024521	0.045349	52.148.114.188	1776309290.184064	1776309286.832043	1776309286.844054	1776310310.856066	0
1776310310.882707	Ck9Ko33LcUl0ZbtQy9	103.98.152.198	123	52.148.114.188	123	3	4	3	1024.000000	0.000000	0.000412	0.012451	10.0.6.20	1776310299.368006	1776310310.856066	1776310310.868005	1776310310.868006	0
1776310311.877744	C47opj3ydbiKgprqlk	103.98.152.115	57671	185.125.190.57	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1776310311.204512	0
1776310312.076033	C47opj3ydbiKgprqlk	103.98.152.115	57671	185.125.190.57	123	4	4	2	1.000000	0.000000	0.005585	0.000458	99.220.8.133	1776310032.801490	1776310311.204512	1776310311.975378	1776310311.975422	0
1776310329.203569	CcMgNn3d0Hqqkx5AW1	103.98.152.197	56389	185.125.190.58	123	4	4	2	1.000000	0.000000	0.005630	0.000366	99.220.8.133	1776310282.345318	1776310328.232136	1776310329.096940	1776310329.096993	0
1776310358.267838	CgSnmy4dUVeI62r5B8	103.98.152.122	43817	185.125.190.58	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1869751704.877166	0
1776310358.466491	CgSnmy4dUVeI62r5B8	103.98.152.122	43817	185.125.190.58	123	4	4	2	1.000000	0.000000	0.005463	0.000244	99.220.8.133	1776310347.581906	1869751704.877166	1776310358.363721	1776310358.363763	0
1776310399.136375	CTyp886AGNQNIhHfh	103.98.152.107	34282	103.221.223.143	123	4	3	0	512.000000	4.294967296e+09	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-7199497.813712	0
1776310399.137149	CTyp886AGNQNIhHfh	103.98.152.107	34282	103.221.223.143	123	4	4	3	512.000000	0.000000	0.058212	0.069519	103.130.217.41	1776309366.070853	-7199497.813712	1776310399.126488	1776310399.126508	0
1776310402.945374	CPIhZfswCV8LdPooa	103.98.152.107	60558	162.159.200.123	123	4	3	0	1024.000000	4.294967296e+09	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	-1868935321.922596	0
1776310402.990658	CPIhZfswCV8LdPooa	103.98.152.107	60558	162.159.200.123	123	4	4	3	1024.000000	0.000000	0.115128	0.003311	10.71.8.4	1776310345.866261	-1868935321.922596	1776310402.941239	1776310402.941347	0
